City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
88,Vanimo,PG,86.56,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
89,Fortuna,US,64.09,scattered clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
90,Rongcheng,CN,71.94,overcast clouds,30.634,117.8517,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
91,Linxia,CN,65.93,overcast clouds,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
93,Carnarvon,AU,67.44,few clouds,-24.8667,113.6333,Hospitality Carnarvon
94,Rawson,AR,58.03,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
95,Bethel,US,73.49,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
97,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
99,Yarmouth,US,73.99,mist,41.7057,-70.2286,Blue Rock Resort
100,Hauterive,FR,68.76,overcast clouds,46.0901,3.4459,Aletti Palace Hotel
102,Victor Harbor,AU,59.0,overcast clouds,-35.5667,138.6167,McCracken Country Club
104,Kapit,MY,74.23,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
105,Fare,PF,78.57,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
107,San Cristobal,VE,73.58,overcast clouds,7.7669,-72.225,Pirineos
108,Havre-Saint-Pierre,CA,59.36,overcast clouds,50.2334,-63.5986,Auberge Niapiskau
110,Kavaratti,IN,81.14,scattered clouds,10.5669,72.642,Green leaf
112,Japura,ID,73.49,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
113,Ariano Irpino,IT,61.54,scattered clouds,41.1489,15.0833,Hotel Incontro
116,Harrisburg,US,67.93,clear sky,40.2737,-76.8844,Hilton Harrisburg
117,Guerrero Negro,MX,73.8,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
118,Yatou,CN,65.61,moderate rain,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
119,Morros,BR,78.06,scattered clouds,-9.4467,-46.3003,
121,San Ramon,US,66.92,clear sky,37.7799,-121.978,San Ramon Marriott
124,Lompoc,US,68.56,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
125,Belmonte,BR,70.25,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
129,Datong,CN,71.8,clear sky,40.0936,113.2914,Holiday Inn Datong City Centre
130,Abilene,US,82.27,clear sky,32.4487,-99.7331,Baymont by Wyndham Abilene
132,Llodio,ES,75.88,clear sky,43.1432,-2.962,Hotel Errekagain
